level5
0
0
14
24
w w w w w w w w w w w w w w 
w 0 0 0 0 0 t 0 0 0 0 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
w 0 f 0 0 0 0 0 0 0 0 0 0 w 
w w w w 0 0 g 0 0 0 0 0 0 w 
w 0 0 0 w 0 0 0 0 0 0 0 0 w 
w 0 0 0 0 0 e w 0 0 w 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 w w 
w 0 0 0 0 0 0 0 0 0 0 w 0 w 
w 0 0 0 0 0 0 0 0 0 w 0 0 w 
w 0 0 0 0 0 0 0 0 w 0 0 0 w 
w 0 0 0 0 0 t 0 0 0 0 0 0 w 
w 0 0 w w w w w 0 0 0 0 0 w 
w 0 0 0 0 0 t 0 0 0 0 0 0 w 
w 0 0 0 0 g 0 0 0 0 0 0 0 w 
w w w 0 0 0 0 0 0 0 0 0 0 w 
w 0 0 0 0 0 e 0 w w w 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
w 0 0 0 0 0 t 0 0 0 w w w w 
w c 0 0 0 0 g g 0 0 0 0 0 w 
w w w 0 0 0 w w 0 0 0 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
