level6
0
0
14
24
w w w w w w w w w w w w w w 
w 0 0 0 0 0 0 0 0 0 0 g g w 
w 0 f 0 0 0 0 0 0 0 0 g g w 
w w w w 0 0 0 0 0 0 w w w w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
w 0 0 0 0 0 w w 0 0 0 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
w 0 0 0 w 0 0 0 0 w 0 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
w w w 0 0 0 0 0 0 0 0 w w w 
w g g w 0 0 0 0 0 0 w g g w 
w 0 0 w w 0 0 0 0 w w 0 0 w 
w 0 0 0 0 g w w g 0 0 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
w 0 0 0 0 w 0 0 w 0 0 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
w w w 0 0 0 0 0 0 0 0 w w w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
w 0 0 0 0 0 0 c 0 0 0 0 0 w 
w 0 0 0 0 0 w w 0 0 0 0 0 w 
w 0 0 0 0 0 0 0 0 0 0 0 0 w 
